,file,video_dtype,video_shape,video_min,video_max,video_mean,video_std,ppg_dtype,ppg_shape,ppg_min,ppg_max,ppg_mean,ppg_std,landmarks_dtype,landmarks_shape,landmarks_min,landmarks_max,landmarks_mean,landmarks_std,face_square,video_duration,patient_id,fold
0,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1020__after.npz,uint8,"(600, 79, 84, 3)",0,204,60.49546806978769,52.41662871518665,float32,"(600,)",0,171,93.128334,37.863464,int16,"(600, 68, 2)",0,84,39.578382352941176,20.593410052230215,6636,600,1020,2
1,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1020__before.npz,uint8,"(600, 93, 89, 3)",0,205,49.96720477091807,53.373638607078945,float32,"(600,)",0,199,88.56,42.38604,int16,"(600, 68, 2)",0,93,44.91316176470588,21.084253447409907,8277,600,1020,2
2,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1024__after.npz,uint8,"(600, 114, 125, 3)",0,255,65.73018502923976,62.61042943,float32,"(600,)",32,193,114.56,40.652466,int16,"(600, 68, 2)",0,125,57.50400735294118,30.37962437355632,14250,600,1024,3
3,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1024__before.npz,uint8,"(600, 102, 118, 3)",0,243,72.17794593072634,65.13939197036309,float32,"(600,)",11,229,113.63333,54.32454,int16,"(600, 68, 2)",0,118,52.298860294117645,28.42582510701837,12036,600,1024,3
4,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1035__after.npz,uint8,"(600, 121, 127, 3)",0,241,69.40132509779252,62.52859116,float32,"(600,)",0,201,103.666664,40.726593,int16,"(600, 68, 2)",0,127,59.73231617647059,31.886103214625617,15367,600,1035,2
5,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1035__before.npz,uint8,"(600, 122, 125, 3)",0,230,65.43081449908925,59.62831273599562,float32,"(600,)",0,198,114.175,44.916195,int16,"(600, 68, 2)",0,125,58.88698529411765,31.83344403373288,15250,600,1035,2
6,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1091__after.npz,uint8,"(600, 77, 85, 3)",0,202,61.46817978100331,49.353311820074204,float32,"(600,)",0,199,115.863335,39.743988,int16,"(600, 68, 2)",0,85,38.69310049019608,20.926681450110802,6545,600,1091,1
7,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1091__before.npz,uint8,"(600, 77, 86, 3)",0,203,63.45347444545119,50.67228265279796,float32,"(600,)",3,224,109.21,49.892544,int16,"(600, 68, 2)",0,86,38.13063725490196,20.959175247248794,6622,600,1091,1
8,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1097__after.npz,uint8,"(600, 112, 119, 3)",0,241,63.73749521,60.392322355260035,float32,"(600,)",26,187,117.795,36.30284,int16,"(600, 68, 2)",0,119,56.13587009803921,28.611806105700218,13328,600,1097,2
9,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1097__before.npz,uint8,"(600, 116, 121, 3)",0,170,39.43788389,39.372231535078654,float32,"(600,)",26,193,126.04667,36.677574,int16,"(600, 68, 2)",0,121,57.942696078431375,30.834795019711606,14036,600,1097,2
10,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1099__after.npz,uint8,"(600, 101, 99, 3)",0,212,45.308265382093765,50.98646695332635,float32,"(600,)",0,185,106.43,38.71518,int16,"(600, 68, 2)",0,101,48.60486519607843,23.713395597038225,9999,600,1099,0
11,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1099__before.npz,uint8,"(600, 94, 106, 3)",0,210,48.24927003880637,51.05325864809541,float32,"(600,)",0,212,101.54,35.724995,int16,"(600, 68, 2)",0,106,49.38693627450981,24.700796028410007,9964,600,1099,0
12,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1107__after.npz,uint8,"(600, 111, 116, 3)",0,229,58.004546442994716,55.78832625747909,float32,"(600,)",13,203,119.84,36.143524,int16,"(600, 68, 2)",0,116,56.19006127,28.77888134580379,12876,600,1107,3
13,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1107__before.npz,uint8,"(600, 121, 128, 3)",0,234,62.15232097250918,56.88767612617928,float32,"(600,)",0,236,112.27167,37.648655,int16,"(600, 68, 2)",0,128,63.60144607843137,32.21560185392814,15488,600,1107,3
14,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1113__after.npz,uint8,"(600, 149, 159, 3)",0,255,59.08534856180734,57.82602580597657,float32,"(600,)",29,183,125.65833,39.788376,int16,"(600, 68, 2)",0,159,68.49112745098039,39.18339571,23691,600,1113,3
