=== Training Started (with Dropout & Scheduler): 2025-12-20 23:58:22.004150 ===
Epoch 01 | LR: 0.001000 | Train Loss: 72.9277 | Val MAE: 36.9500 (SBP: 61.25, DBP: 12.65)
  --> Saved new best model
Epoch 02 | LR: 0.001000 | Train Loss: 18.4336 | Val MAE: 11.3955 (SBP: 14.66, DBP: 8.13)
  --> Saved new best model
Epoch 03 | LR: 0.001000 | Train Loss: 11.7369 | Val MAE: 11.3172 (SBP: 14.55, DBP: 8.08)
  --> Saved new best model
Epoch 04 | LR: 0.001000 | Train Loss: 11.4821 | Val MAE: 11.4934 (SBP: 14.70, DBP: 8.28)
Epoch 05 | LR: 0.001000 | Train Loss: 11.4561 | Val MAE: 11.5933 (SBP: 14.81, DBP: 8.38)
Epoch 06 | LR: 0.001000 | Train Loss: 11.4227 | Val MAE: 11.5120 (SBP: 14.73, DBP: 8.29)
Epoch 07 | LR: 0.001000 | Train Loss: 11.3838 | Val MAE: 11.4184 (SBP: 14.60, DBP: 8.24)
Epoch 08 | LR: 0.001000 | Train Loss: 11.3373 | Val MAE: 11.3441 (SBP: 14.53, DBP: 8.16)
Epoch 09 | LR: 0.000500 | Train Loss: 11.3522 | Val MAE: 11.3602 (SBP: 14.53, DBP: 8.19)
Epoch 10 | LR: 0.000500 | Train Loss: 11.3845 | Val MAE: 11.4130 (SBP: 14.59, DBP: 8.24)
Epoch 11 | LR: 0.000500 | Train Loss: 11.2919 | Val MAE: 11.5226 (SBP: 14.70, DBP: 8.35)
Epoch 12 | LR: 0.000500 | Train Loss: 11.3466 | Val MAE: 11.3878 (SBP: 14.53, DBP: 8.24)
Epoch 13 | LR: 0.000500 | Train Loss: 11.3685 | Val MAE: 11.5225 (SBP: 14.67, DBP: 8.38)
Epoch 14 | LR: 0.000500 | Train Loss: 11.2537 | Val MAE: 11.3270 (SBP: 14.47, DBP: 8.19)
Epoch 15 | LR: 0.000250 | Train Loss: 11.2407 | Val MAE: 11.4721 (SBP: 14.61, DBP: 8.33)
Epoch 16 | LR: 0.000250 | Train Loss: 11.2576 | Val MAE: 11.3065 (SBP: 14.43, DBP: 8.18)
  --> Saved new best model
Epoch 17 | LR: 0.000250 | Train Loss: 11.2271 | Val MAE: 11.2962 (SBP: 14.42, DBP: 8.18)
  --> Saved new best model
Epoch 18 | LR: 0.000250 | Train Loss: 11.2415 | Val MAE: 11.3047 (SBP: 14.42, DBP: 8.19)
Epoch 19 | LR: 0.000250 | Train Loss: 11.2406 | Val MAE: 11.3147 (SBP: 14.45, DBP: 8.18)
Epoch 20 | LR: 0.000250 | Train Loss: 11.1697 | Val MAE: 11.5825 (SBP: 14.73, DBP: 8.44)
Epoch 21 | LR: 0.000250 | Train Loss: 11.1917 | Val MAE: 11.4870 (SBP: 14.61, DBP: 8.36)
Epoch 22 | LR: 0.000250 | Train Loss: 11.1694 | Val MAE: 11.4560 (SBP: 14.57, DBP: 8.34)
Epoch 23 | LR: 0.000125 | Train Loss: 11.1430 | Val MAE: 11.4718 (SBP: 14.57, DBP: 8.37)
Epoch 24 | LR: 0.000125 | Train Loss: 11.1501 | Val MAE: 11.3473 (SBP: 14.45, DBP: 8.24)
Epoch 25 | LR: 0.000125 | Train Loss: 11.1405 | Val MAE: 11.3893 (SBP: 14.49, DBP: 8.29)
Epoch 26 | LR: 0.000125 | Train Loss: 11.0701 | Val MAE: 11.3811 (SBP: 14.48, DBP: 8.28)
Epoch 27 | LR: 0.000125 | Train Loss: 11.1388 | Val MAE: 11.3844 (SBP: 14.48, DBP: 8.28)
Epoch 28 | LR: 0.000125 | Train Loss: 11.0787 | Val MAE: 11.4015 (SBP: 14.49, DBP: 8.31)
Epoch 29 | LR: 0.000063 | Train Loss: 11.1947 | Val MAE: 11.3649 (SBP: 14.45, DBP: 8.28)
Epoch 30 | LR: 0.000063 | Train Loss: 11.1550 | Val MAE: 11.4462 (SBP: 14.54, DBP: 8.35)
Epoch 31 | LR: 0.000063 | Train Loss: 11.1107 | Val MAE: 11.4481 (SBP: 14.55, DBP: 8.35)
Epoch 32 | LR: 0.000063 | Train Loss: 11.1252 | Val MAE: 11.3788 (SBP: 14.47, DBP: 8.29)
Epoch 33 | LR: 0.000063 | Train Loss: 11.0887 | Val MAE: 11.4073 (SBP: 14.51, DBP: 8.30)
Epoch 34 | LR: 0.000063 | Train Loss: 11.1273 | Val MAE: 11.4050 (SBP: 14.50, DBP: 8.31)
Epoch 35 | LR: 0.000031 | Train Loss: 11.1440 | Val MAE: 11.3899 (SBP: 14.47, DBP: 8.31)
Epoch 36 | LR: 0.000031 | Train Loss: 11.1662 | Val MAE: 11.3752 (SBP: 14.46, DBP: 8.29)
Epoch 37 | LR: 0.000031 | Train Loss: 11.1613 | Val MAE: 11.3859 (SBP: 14.47, DBP: 8.30)
Epoch 38 | LR: 0.000031 | Train Loss: 11.1423 | Val MAE: 11.3896 (SBP: 14.47, DBP: 8.30)
Epoch 39 | LR: 0.000031 | Train Loss: 11.0896 | Val MAE: 11.4439 (SBP: 14.54, DBP: 8.35)
Epoch 40 | LR: 0.000031 | Train Loss: 11.1415 | Val MAE: 11.4060 (SBP: 14.50, DBP: 8.32)
Epoch 41 | LR: 0.000016 | Train Loss: 11.1323 | Val MAE: 11.3789 (SBP: 14.46, DBP: 8.29)
Epoch 42 | LR: 0.000016 | Train Loss: 11.1507 | Val MAE: 11.3838 (SBP: 14.47, DBP: 8.30)
Epoch 43 | LR: 0.000016 | Train Loss: 11.1194 | Val MAE: 11.4030 (SBP: 14.49, DBP: 8.31)
Epoch 44 | LR: 0.000016 | Train Loss: 11.1293 | Val MAE: 11.4306 (SBP: 14.52, DBP: 8.34)
Epoch 45 | LR: 0.000016 | Train Loss: 11.0961 | Val MAE: 11.3951 (SBP: 14.48, DBP: 8.31)
Epoch 46 | LR: 0.000016 | Train Loss: 11.1242 | Val MAE: 11.4066 (SBP: 14.49, DBP: 8.32)
Epoch 47 | LR: 0.000008 | Train Loss: 11.1638 | Val MAE: 11.3794 (SBP: 14.47, DBP: 8.29)
Epoch 48 | LR: 0.000008 | Train Loss: 11.1494 | Val MAE: 11.3865 (SBP: 14.47, DBP: 8.30)
Epoch 49 | LR: 0.000008 | Train Loss: 11.1295 | Val MAE: 11.4017 (SBP: 14.49, DBP: 8.32)
Epoch 50 | LR: 0.000008 | Train Loss: 11.1028 | Val MAE: 11.3880 (SBP: 14.47, DBP: 8.31)
