=== Training v4 Started: 2025-12-21 00:32:08.495086 ===
Epoch 01 | LR: 0.001000 | Train Loss: 57.0478 | Val MAE: 16.4936 (SBP: 24.72, DBP: 8.26)
  --> Saved new best model v4
Epoch 02 | LR: 0.001000 | Train Loss: 11.3926 | Val MAE: 11.3597 (SBP: 14.55, DBP: 8.17)
  --> Saved new best model v4
Epoch 03 | LR: 0.001000 | Train Loss: 11.1781 | Val MAE: 11.3982 (SBP: 14.61, DBP: 8.19)
Epoch 04 | LR: 0.001000 | Train Loss: 11.1896 | Val MAE: 11.3666 (SBP: 14.54, DBP: 8.20)
Epoch 05 | LR: 0.001000 | Train Loss: 11.0938 | Val MAE: 11.4273 (SBP: 14.63, DBP: 8.23)
Epoch 06 | LR: 0.001000 | Train Loss: 11.1455 | Val MAE: 11.4550 (SBP: 14.62, DBP: 8.29)
Epoch 07 | LR: 0.001000 | Train Loss: 11.1866 | Val MAE: 11.3862 (SBP: 14.54, DBP: 8.23)
Epoch 08 | LR: 0.000500 | Train Loss: 11.1493 | Val MAE: 11.4562 (SBP: 14.68, DBP: 8.23)
Epoch 09 | LR: 0.000500 | Train Loss: 11.1735 | Val MAE: 11.4174 (SBP: 14.57, DBP: 8.26)
Epoch 10 | LR: 0.000500 | Train Loss: 11.1423 | Val MAE: 11.4425 (SBP: 14.60, DBP: 8.28)
Epoch 11 | LR: 0.000500 | Train Loss: 11.0925 | Val MAE: 11.5024 (SBP: 14.66, DBP: 8.35)
Epoch 12 | LR: 0.000500 | Train Loss: 11.1652 | Val MAE: 11.4474 (SBP: 14.61, DBP: 8.29)
Epoch 13 | LR: 0.000500 | Train Loss: 11.1467 | Val MAE: 11.4588 (SBP: 14.64, DBP: 8.28)
Epoch 14 | LR: 0.000250 | Train Loss: 11.1619 | Val MAE: 11.4181 (SBP: 14.58, DBP: 8.25)
Epoch 15 | LR: 0.000250 | Train Loss: 11.1807 | Val MAE: 11.4757 (SBP: 14.66, DBP: 8.29)
Epoch 16 | LR: 0.000250 | Train Loss: 11.1413 | Val MAE: 11.5078 (SBP: 14.69, DBP: 8.32)
Epoch 17 | LR: 0.000250 | Train Loss: 11.0821 | Val MAE: 11.4807 (SBP: 14.65, DBP: 8.31)
Epoch 18 | LR: 0.000250 | Train Loss: 11.1050 | Val MAE: 11.4326 (SBP: 14.59, DBP: 8.27)
Epoch 19 | LR: 0.000250 | Train Loss: 11.1066 | Val MAE: 11.4164 (SBP: 14.58, DBP: 8.25)
Epoch 20 | LR: 0.000125 | Train Loss: 11.0901 | Val MAE: 11.4292 (SBP: 14.59, DBP: 8.27)
Epoch 21 | LR: 0.000125 | Train Loss: 11.1621 | Val MAE: 11.4497 (SBP: 14.64, DBP: 8.26)
Epoch 22 | LR: 0.000125 | Train Loss: 11.1643 | Val MAE: 11.4417 (SBP: 14.62, DBP: 8.26)
Epoch 23 | LR: 0.000125 | Train Loss: 11.1135 | Val MAE: 11.4326 (SBP: 14.63, DBP: 8.24)
Epoch 24 | LR: 0.000125 | Train Loss: 11.1404 | Val MAE: 11.4489 (SBP: 14.63, DBP: 8.27)
Epoch 25 | LR: 0.000125 | Train Loss: 11.0921 | Val MAE: 11.4306 (SBP: 14.61, DBP: 8.25)
Epoch 26 | LR: 0.000063 | Train Loss: 11.1343 | Val MAE: 11.4569 (SBP: 14.64, DBP: 8.27)
Epoch 27 | LR: 0.000063 | Train Loss: 11.1064 | Val MAE: 11.4364 (SBP: 14.62, DBP: 8.25)
Epoch 28 | LR: 0.000063 | Train Loss: 11.0621 | Val MAE: 11.4495 (SBP: 14.66, DBP: 8.24)
Epoch 29 | LR: 0.000063 | Train Loss: 11.1145 | Val MAE: 11.4454 (SBP: 14.64, DBP: 8.25)
Epoch 30 | LR: 0.000063 | Train Loss: 11.1022 | Val MAE: 11.4584 (SBP: 14.65, DBP: 8.27)
Epoch 31 | LR: 0.000063 | Train Loss: 11.1530 | Val MAE: 11.4617 (SBP: 14.65, DBP: 8.27)
Epoch 32 | LR: 0.000031 | Train Loss: 11.1055 | Val MAE: 11.4466 (SBP: 14.64, DBP: 8.26)
Epoch 33 | LR: 0.000031 | Train Loss: 11.0985 | Val MAE: 11.4331 (SBP: 14.63, DBP: 8.24)
Epoch 34 | LR: 0.000031 | Train Loss: 11.0922 | Val MAE: 11.4488 (SBP: 14.65, DBP: 8.24)
Epoch 35 | LR: 0.000031 | Train Loss: 11.1263 | Val MAE: 11.4630 (SBP: 14.68, DBP: 8.25)
Epoch 36 | LR: 0.000031 | Train Loss: 11.0607 | Val MAE: 11.4888 (SBP: 14.71, DBP: 8.27)
